date,title,source,media_name,ideology,Congress
27/01/2020,"America, The Idea, Is Lost","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/America , the Idea, Is Lost.docx",The New York Times,left,116th
13/12/2021,Americaâ€™s Anti-Democratic Movement; The Morning Newsletter,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/America _s Anti-Democratic Movement The Morning Newsletter.docx,The New York Times,left,117th
06/10/2020,America May Need International Intervention,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/America May Need International Intervention.docx,The New York Times,left,116th
07/10/2020,America May Need Intervention,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/America May Need Intervention.docx,The New York Times,left,116th
10/12/2021,"Americans Held Hostage Behind Enemy Lines, Day 118","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Americans Held Hostage Behind Enemy Lines, Day 118.docx",Fox News,right,117th
16/12/2021,"Americans Held Hostage Behind Enemy Lines, Day 124","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Americans Held Hostage Behind Enemy Lines, Day 124.docx",Fox News,right,117th
01/09/2021,"Americans Held Hostage Behind Enemy Lines, Day 18; Interview With Sen. John Kennedy (R-LA)","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Americans Held Hostage Behind Enemy Lines, Day 18; Interview With Sen. John Kennedy (R- LA ).docx",Fox News,right,117th
01/12/2021,"Americans Held Hostage, Abandoned Behind Enemy Lines, Day 109; Biden's America Last Agenda Emboldens Adversaries","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Americans Held Hostage, Abandoned Behind Enemy Lines, Day 109; Biden's America Last Agenda Emboldens.docx",Fox News,right,117th
06/12/2021,"Americans Held Hostage, Abandoned Behind Enemy Lines, Day 114","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Americans Held Hostage, Abandoned Behind Enemy Lines, Day 114.docx",Fox News,right,117th
22/09/2021,"Americans Held Hostage, Abandoned Behind Enemy Lines, Day 39; Interview With Senator John Kennedy (R-LA)","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Americans Held Hostage, Abandoned Behind Enemy Lines, Day 39; Interview With Senator John Kennedy (R.docx",Fox News,right,117th
27/10/2021,"Americans Held Hostage, Abandoned Behind Enemy Lines, Day 74","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Americans Held Hostage, Abandoned Behind Enemy Lines, Day 74.docx",Fox News,right,117th
07/06/2020,Anger Benefits Some Americans Much More Than Others,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Anger Benefits Some Americans Much More Than Others.docx,The New York Times,left,116th
06/05/2019,Angry Democrats Want To Punish The A.G.; Democrats Still Having A Problem Accepting Election Results; Facebook Just Banned A Number Of Prominent Conservatives; Pentagon's Secret UFO Program; President Plans To Increase Tariffs On Some Chinese Products; Bill de Blasio To Run For President,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Angry Democrats Want To Punish The A.G.; Democrats Still Having A Problem Accepting Election Results.docx,Fox News,right,116th
09/01/2021,Apple Suspends Parler From App Store; Interview With Sen. James Lankford (R-OK); Democrats To Introduce Impeachment Articles On Monday; Interview With Rep. Steve Scalise (R-LA); Capitol Hill Cop Died From Injuries After Riot; What Will A Democrat-Controlled Senate Mean For America; Big Tech Censorship Attacks Freedom Of Speech,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Apple Suspends Parler From App Store; Interview With Sen. James Lankford (R- OK ); Democrats To Intr.docx,Fox News,right,117th
08/03/2019,"Are Democrats Attempting A Power Grab To Hurt Republicans' Chances Of Winning Future Elections?; Could The Social Justice Obsession Actually Be The Demise Of The Democrats?; HHS Is Moving Up To $385 Million From Programs To House An Overwhelming Number Of Unaccompanied Migrant Children; Rep. James Comer (R) Kentucky Is Interviewed About Voting Reform Measures; The House Approved Sweeping Voting Reform Measures Called H.R. 1 Or For The People Act; The Hypocrisy Of The Lamestream Media's Outrage Over Paul Manafort's Sentencing; Jussie Smollett, The Empire Actor, Has Been Charged With 16 Felonies For His Hate Crime Hoax; House Intelligence Committee Chair Adam Schiff's Staff Reportedly Met With Michael Cohen Before His Congressional Testimony; Some Call For Banning Michael Jackson Catalog; R. Kelly Interview Draws Controversy; Media Criticism Of President Trump Examined",C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Are Democrats Attempting A Power Grab To Hurt Republicans' Chances Of Winning Future Elections_; Cou.docx,Fox News,right,116th
23/04/2021,"Are white nationalists gaining influence?; America First document riles lawmakers, experts","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Are white nationalists gaining influence_ America First document riles lawmakers, experts.docx",USA Today,left,117th
03/07/2021,Arizona Ruling Raises Bar For Voter Law Challenges,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Arizona Ruling Raises Bar For Voter Law Challenges.docx,The New York Times,left,117th
